id,question,A,B,C,D,answer,analysis,action,principle
0,思瑞公司不能清偿到期债务，债权人向法院申请破产清算。法院受理并指定了管理人。在宣告破产前，持股20%的股东甲认为如引进战略投资者乙公司，思瑞公司仍有生机，于是向法院申请重整。关于重整，下列哪一选项是正确的,如甲申请重整，必须附有乙公司的投资承诺,如债权人反对，则思瑞公司不能开始重整,如思瑞公司开始重整，则管理人应辞去职务,只要思瑞公司的重整计划草案获得法院批准，重整程序就终止,D,依据《企业破产法》第七十条规定，债务人或者债权人可以依照本法规定，直接向人民法院申请对债务人进行重整。债权人申请对债务人进行破产清算的，在人民法院受理破产申请后、宣告债务人破产前，债务人或者出资额占债务人注册资本1/10以上的出资人，可以向人民法院申请重整。申请重整无须必须附有投资承诺。A项错误。依据《企业破产法》第七十一条规定，人民法院经审查认为重整申请符合破产法规定的，应当裁定债务人重整，并予以公告。可见重整无须征得债权人同意。B项错误。依据《企业破产法》第七十三条规定，重整期间管理人可能向债务人移交营业事务，管理人的职权也可能归于债务人，但管理人并不因此辞去职务。C项错误。依据《企业破产法》第八十七条规定，法院裁定批准重整计划草案则重整程序终止，此为重整程序终止较为特殊的规定。D项正确。,设计一个法律情境,<《企业破产法》第七十条规定，债务人或者债权人可以依照本法规定，直接向人民法院申请对债务人进行重整。债权人申请对债务人进行破产清算的，在人民法院受理破产申请后、宣告债务人破产前，债务人或者出资额占债务人注册资本十分之一以上的出资人，可以向人民法院申请重整。> <《企业破产法》第七十一条规定，人民法院经审查认为重整申请符合本法规定的，应当裁定债务人重整，并予以公告。> <《企业破产法》第七十三条规定，在重整期间，经债务人申请，人民法院批准，债务人可以在管理人的监督下自行管理财产和营业事务。有前款规定情形的，依照本法规定已接管债务人财产和营业事务的管理人应当向债务人移交财产和营业事务，本法规定的管理人的职权由债务人行使。> <《企业破产法》第八十七条规定，部分表决组未通过重整计划草案的，债务人或者管理人可以同未通过重整计划草案的表决组协商。该表决组可以在协商后再表决一次。双方协商的结果不得损害其他表决组的利益。未通过重整计划草案的表决组拒绝再次表决或者再次表决仍未通过重整计划草案，但重整计划草案符合下列条件的，债务人或者管理人可以申请人民法院批准重整计划草案:（一）按照重整计划草案，本法第八十二条第一款第一项所列债权就该特定财产将获得全额清偿，其因延期清偿所受的损失将得到公平补偿，并且其担保权未受到实质性损害，或者该表决组已经通过重整计划草案；（二）按照重整计划草案，本法第八十二条第一款第二项、第三项所列债权将获得全额清偿，或者相应表决组已经通过重整计划草案；（三）按照重整计划草案，普通债权所获得的清偿比例，不低于其在重整计划草案被提请批准时依照破产清算程序所能获得的清偿比例，或者该表决组已经通过重整计划草案；（四）重整计划草案对出资人权益的调整公平、公正，或者出资人组已经通过重整计划草案；（五）重整计划草案公平对待同一表决组的成员，并且所规定的债权清偿顺序不违反本法第一百一十三条的规定；（六）债务人的经营方案具有可行性。人民法院经审查认为重整计划草案符合前款规定的，应当自收到申请之日起三十日内裁定批准，终止重整程序，并予以公告。>
1,2017年3月2日，甲有限公司因资不抵债进人破产重整程序。乙公司因向甲公司提供商品，对甲公司享有100万元到期债权，但乙公司因业务繁忙在债权申报期间并未申报债权。2018年1月，甲公司重整计划执行完毕，全体普通债权人的清偿比例为45%。下列说法正确的是？,对乙公司的债权，甲公司无须承担偿还义务,对乙公司的债权，参考甲公司重整方案，按同性质债权等比例清偿,乙公司的债权由甲公司全额清偿,针对乙公司的债权，重整方案对乙公司不具有法律效力,B,《企业破产法》第九十二条第2款规定:债权人未依照本法规定申报债权的，在重整计划执行期间不得行使权利；在重整计划执行完毕后，可以按照重整计划规定的同类债权的清偿条件行使权利。由此可知，乙公司作为甲公司的债权人未在债权申报期间申报债权，只是在重整计划执行期间不得行使权利，甲公司仍然要承担偿还义务，在甲公司重整计划执行完毕后，可依据甲公司的重整方案，按同性质债权等比例清偿。故A、C选项错误，B选项正确。《企业破产法》第九十二条第1款规定:经人民法院裁定批准的重整计划，对债务人和全体债权人均有约束力。由此可知，甲公司的重整方案对债权人乙公司也具有法律效力，故D选项错误。,设计一个法律情境,<《企业破产法》第九十二条规定，经人民法院裁定批准的重整计划，对债务人和全体债权人均有约束力。债权人未依照本法规定申报债权的，在重整计划执行期间不得行使权利；在重整计划执行完毕后，可以按照重整计划规定的同类债权的清偿条件行使权利。债权人对债务人的保证人和其他连带债务人所享有的权利，不受重整计划的影响。>
2,关于破产重整的申请与重整期间，下列哪一表述是正确的？,只有在破产清算申请受理后，债务人才能向法院提出重整申请,重整期间为法院裁定债务人重整之日起至重整计划执行完毕时,在重整期间，经债务人申请并经法院批准，务人可在管理人监督下自行管理财产和营业事务,在重整期间，就债务人所承租的房屋，即使租期已届至，出租人也不得请求返还,C,《企业破产法》第七十条第一款规定，债务人或者债权人可以依照本法规定，直接向人民法院申请对债务人进行重整。据此可知，债务人可直接向法院提出重整申请。选项A错误。《企业破产法》第七十二条规定，自人民法院裁定债务人重整之日起至重整程序终止，为重整期间。据此可知，重整期间的截止点是重整程序终止之时，而非重整计划执行完毕之时。选项B错误。《企业破产法》第七十三条第一款规定，在重整期间，经债务人申请，人民法院批准，债务人可以在管理人的监督下自行管理财产和营业事务。选项C正确。选项D错误。《企业破产法》第七十六条规定，债务人合法占有的他人财产，该财产的权利人在重整期间要求取回的，应当符合事先约定的条件。据此可知，在重整期间，就债务人所承租的房屋租期已届至的，出租人有权请求返还。选项D错误。,针对给定法律中的某个概念,<《企业破产法》第七十条规定，债务人或者债权人可以依照本法规定，直接向人民法院申请对债务人进行重整。债权人申请对债务人进行破产清算的，在人民法院受理破产申请后、宣告债务人破产前，债务人或者出资额占债务人注册资本十分之一以上的出资人，可以向人民法院申请重整。> <《企业破产法》第七十二条规定，自人民法院裁定债务人重整之日起至重整程序终止，为重整期间。> <《企业破产法》第七十三条规定，在重整期间，经债务人申请，人民法院批准，债务人可以在管理人的监督下自行管理财产和营业事务。有前款规定情形的，依照本法规定已接管债务人财产和营业事务的管理人应当向债务人移交财产和营业事务，本法规定的管理人的职权由债务人行使。> <《企业破产法》第七十六条规定，债务人合法占有的他人财产，该财产的权利人在重整期间要求取回的，应当符合事先约定的条件。>
3,A公司因经营不善，资产已不足以清偿全部债务，经申请进入破产还债程序。关于破产债权的申报，下列哪个表述是正确的？,甲对A公司的债权虽未到期，不可以申报,乙对A公司的债权因附有条件，故不能申报,丙对A公司的债权虽然诉讼未决，但丙仍可以申报,职工丁对A公司的伤残补助请求权，应予以申报,C,《企业破产法》第四十六条第一款规定，未到期的债权，在破产申请受理时视为到期。据此可知，未到期的债权，仍可申报。选项A错误。《企业破产法》第四十七条规定，附条件、附期限的债权和诉讼、仲裁未决的债权，债权人可以申报。选项B错误，选项C正确。《企业破产法》第四十八条第二款规定，债务人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金，不必申报，由管理人调查后列出清单并予以公示。职工对清单记载有异议的，可以要求管理人更正；管理人不予更正的，职工可以向人民法院提起诉讼。据此可知，伤残补助不必申报。选项D错误。,设计一个法律情境,<《企业破产法》第四十六条规定，未到期的债权，在破产申请受理时视为到期。附利息的债权自破产申请受理时起停止计息。> <《企业破产法》第四十七条规定，附条件、附期限的债权和诉讼、仲裁未决的债权，债权人可以申报。> <《企业破产法》第四十八条规定，债权人应当在人民法院确定的债权申报期限内向管理人申报债权。债务人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金，不必申报，由管理人调查后列出清单并予以公示。职工对清单记载有异议的，可以要求管理人更正；管理人不予更正的，职工可以向人民法院提起诉讼。>
4,尚友有限公司因经营管理不善，决定依照《破产法》进行重整。关于重整计划草案，下列哪个选项是正确的,在尚友公司自行管理财产与营业事务时，由其自己制作重整计划草案,债权人参加讨论重整计划草案的债权人会议时，应按法定的债权分类，可以不分组对该草案进行表决,出席会议的同一表决组的债权人过半数同意重整计划草案，即为该组通过重整计划草案,三分之二以上表决组通过重整计划草案，重整计划即为通过,A,A项，《企业破产法》第八十条规定:“债务人自行管理财产和营业事务的，由债务人制作重整计划草案。”据此，A项正确。B项，《企业破产法》第八十二条规定:“下列各类债权的债权人参加讨论重整计划草案的债权人会议，依照下列债权分类，分组对重整计划草案进行表决:一对债务人的特定财产享有担保权的债权；二债务人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；三债务人所欠税款四普通债权。”据此，B项错误。C项，《企业破产法》第八十四条第2款规定:“出席会议的同一表决组的债权人过半数同意重整计划草案，并且其所代表的债权额占该组债权总额的三分之二以上的，即为该组通过重整计划草案。”据此，C项错误。D项，《企业破产法》第八十六条第1款规定:“第八十六条各表决组均通过重整计划草案时，重整计划即为通过。”D项错误。,设计一个法律情境,<《企业破产法》第八十条规定，债务人自行管理财产和营业事务的，由债务人制作重整计划草案。管理人负责管理财产和营业事务的，由管理人制作重整计划草案。> <《企业破产法》第八十二条规定，下列各类债权的债权人参加讨论重整计划草案的债权人会议，依照下列债权分类，分组对重整计划草案进行表决:（一）对债务人的特定财产享有担保权的债权；（二）债务人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；（三）债务人所欠税款；（四）普通债权。人民法院在必要时可以决定在普通债权组中设小额债权组对重整计划草案进行表决。> <《企业破产法》第八十四条规定，人民法院应当自收到重整计划草案之日起三十日内召开债权人会议，对重整计划草案进行表决。出席会议的同一表决组的债权人过半数同意重整计划草案，并且其所代表的债权额占该组债权总额的三分之二以上的，即为该组通过重整计划草案。债务人或者管理人应当向债权人会议就重整计划草案作出说明，并回答询问。> <《企业破产法》第八十六条规定，各表决组均通过重整计划草案时，重整计划即为通过。自重整计划通过之日起十日内，债务人或者管理人应当向人民法院提出批准重整计划的申请。人民法院经审查认为符合本法规定的，应当自收到申请之日起三十日内裁定批准，终止重整程序，并予以公告。>
5,姜某的私家车投保商业车险，年保险费为3000元。姜某发现当网约车司机收入不错，便用手机软件接单载客，后辞职专门跑网约车。某晚，姜某载客途中与他人相撞，造成车损1万元。姜某向保险公司索赔，保险公司调查后拒赔。关于本案，下列选项正确的是？,保险合同无效,姜某有权主张约定的保险金,保险公司不承担赔偿保险金的责任,保险公司有权解除保险合同并不退还保险费,C,A项，《保险法》第十一条规定:“订立保险合同，应当协商一致，遵循公平原则确定各方的权利和义务。除法律、行政法规规定必须保险的外，保险合同自愿订立。”由此可知，本题中姜某与保险公司是在自愿且协商一致的基础上订立的保险合同，该合同有效。因此A项错误。B、C、D项，《保险法》第五十二条规定:“在合同有效期内，保险标的的危险程度显著增加的，被保险人应当按照合同约定及时通知保险人，保险人可以按照合同约定增加保险费或者解除合同。保险人解除合同的，应当将已收取的保险费，按照合同约定扣除自保险责任开始之日起至合同解除之日止应收的部分后，退还投保人。被保险人未履行前款规定的通知义务的，因保险标的的危险程度显著增加而发生的保险事故，保险人不承担赔偿保险金的责任。据此可知，姜某将私家车用于网约车并于夜晚载客，使得保险标的危险程度显著增加，保险公司据此解除合同的，应当将已收取的保险费，按照合同约定扣除自保险责任开始之日起至合同解除之日止应收的部分后，退还给姜某。姜某未履行通知义务，由此而发生的保险事故，保险公司不承担赔偿保险金的责任。因此B、D项错误C项正确。,设计一个法律情境,<《保险法》第十一条规定，订立保险合同，应当协商一致，遵循公平原则确定各方的权利和义务。> <《保险法》第五十二条规定，在合同有效期内，保险标的的危险程度显著增加的，被保险人应当按照合同约定及时通知保险人，保险人可以按照合同约定增加保险费或者解除合同。保险人解除合同的，应当将已收取的保险费，按照合同约定扣除自保险责任开始之日起至合同解除之日止应收的部分后，退还投保人。被保险人未履行前款规定的通知义务的，因保险标的的危险程度显著增加而发生的保险事故，保险人不承担赔偿保险金的责任。>
6,甲公司投保了财产损失险的厂房被烧毁，甲公司伪造证明，夸大此次火灾的损失，向保险公司索赔100万元，保险公司为查清此事，花费5万元。关于保险公司的权责，下列哪个选项是正确的？,应当向甲公司给付约定的保险金,有权向甲公司主张5万元花费损失,有权拒绝向甲公司给付保险金,有权解除与甲公司的保险合同,A,依据《保险法》第二十七条第3款的规定，保险事故发生后，投保人、被保险人或者受益人以伪造、变造的有关证明、资料或者其他证据，编造虚假的事故原因或者夸大损失程度的，保险人对其虚报的部分不承担赔偿或者给付保险金的责任。因此，对实际发生的保险事故造成的损害，应当按照约定赔偿。选项A正确。依据《保险法》第二十七条第4款的规定，被保险人有虚报行为，致使保险人支付保险金或者支出费用的，应当退回或者赔偿。选项B错误。依据《保险法》第二十七条的规定，被保险人虚报损失，对虚报的部分，保险公司不承担赔偿责任，但保险公司无权拒绝给付未虚报部分的保金。选项C错误。依据《保险法》第二十七条的规定，被保险人虚报损失的，保险公司不享有法定的解除权，不得解除合同。选项D错误。,设计一个法律情境,<《保险法》第二十七条规定，未发生保险事故，被保险人或者受益人谎称发生了保险事故，向保险人提出赔偿或者给付保险金请求的，保险人有权解除合同，并不退还保险费。投保人、被保险人故意制造保险事故的，保险人有权解除合同，不承担赔偿或者给付保险金的责任；除本法第四十三条规定外，不退还保险费。保险事故发生后，投保人、被保险人或者受益人以伪造、变造的有关证明、资料或者其他证据，编造虚假的事故原因或者夸大损失程度的，保险人对其虚报的部分不承担赔偿或者给付保险金的责任。投保人、被保险人或者受益人有前三款规定行为之一，致使保险人支付保险金或者支出费用的，应当退回或者赔偿。>
7,甲以自己为被保险人向某保险公司投保健康险，指定其子乙为受益人，保险公司承保并出具保单。两个月后，甲突发心脏病死亡。保险公司经调查发现，甲两年前曾做过心脏搭桥手术，但在填写投保单以及回答保险公司相关询问时，甲均未如实告知。对此，下列哪一表述是正确的？,因甲违反如实告知义务，故保险公司对甲可主张违约责任,保险公司有权解除保险合同,保险公司即使不解除保险合同，仍有权拒绝乙的保险金请求,保险公司虽可不必支付保险金，但须退还保险费,B,《保险法》第十六条第二款规定，投保人故意或者因重大过失未履行前款规定的如实告知义务，足以影响保险人决定是否同意承保或者提高保险费率的，保险人有权解除合同。投保人的如实告知义务属于先合同义务，而非违约责任。另一种解释是，理论上人身保险合同被定性为“储蓄投资性法律关系”，所以人身保险合同并非债权债务关系，故没有投保人承担违约责任的要求。选项A错误，选项B正确。《保险法》第十六条第四款规定，投保人故意不履行如实告知义务的，保险人对于合同解除前发生的保险事故，不承担赔偿或者给付保险金的责任，并不退还保险费。据此可知，保险公司选择解除保险合同的，才有权拒绝承担给付保险金的责任，并有权不退还保险费。若保险公司选择不解除保险合同的话，则应按照保险合同的约定向乙给付保险金。选项C、D错误。,设计一个法律情境,<《保险法》第十六条规定，订立保险合同，保险人就保险标的或者被保险人的有关情况提出询问的，投保人应当如实告知。投保人故意或者因重大过失未履行前款规定的如实告知义务，足以影响保险人决定是否同意承保或者提高保险费率的，保险人有权解除合同。前款规定的合同解除权，自保险人知道有解除事由之日起，超过三十日不行使而消灭。自合同成立之日起超过二年的，保险人不得解除合同；发生保险事故的，保险人应当承担赔偿或者给付保险金的责任。投保人故意不履行如实告知义务的，保险人对于合同解除前发生的保险事故，不承担赔偿或者给付保险金的责任，并不退还保险费。投保人因重大过失未履行如实告知义务，对保险事故的发生有严重影响的，保险人对于合同解除前发生的保险事故，不承担赔偿或者给付保险金的责任，但应当退还保险费。保险人在合同订立时已经知道投保人未如实告知的情况的，保险人不得解除合同；发生保险事故的，保险人应当承担赔偿或者给付保险金的责任。保险事故是指保险合同约定的保险责任范围内的事故。>
8,根据《刑事诉讼法》的规定，辩护律师收集到的下列哪一证据应及时告知公安机关、检察院？,强奸案中被害人系精神病人的证据,故意伤害案中犯罪嫌疑人系正当防卫的证据,投放危险物质案中犯罪嫌疑人案发时在外地出差的证据,制造毒品案中犯罪嫌疑人犯罪时刚满16周岁的证据,C,本题考查了辩护人的义务之一特定证据展示义务。根据《刑事诉讼法》第四十二条的规定，辩护人应当及时告知公安机关、人民检察院的证据仅限于以下三类:有关犯罪嫌疑人不在犯罪现场、未达到刑事责任年龄、属于依法不负刑事责任的精神病人的证据，对于辩护律师收集到的其他有利于犯罪嫌疑人的证据，不是必须告知公安机关、检察院。本题中只有C选项属于犯罪嫌疑人不在犯罪现场的证据，需要告知公安机关、检察院，C选项正确。,针对给定法律中的某个概念,<《刑事诉讼法》第四十二条规定，辩护人收集的有关犯罪嫌疑人不在犯罪现场、未达到刑事责任年龄、属于依法不负刑事责任的精神病人的证据，应当及时告知公安机关、人民检察院。>
9,公安机关发现一具被焚烧过的尸体，因地处偏僻且天气恶劣，无法找到见证人，于是对勘验过程进行了全程录像，并在笔录中注明原因。法庭审理时，辩护人以勘验时没有见证人在场为由，申请排除勘验现场收集的物证。关于本案证据，下列哪一选项是正确的？,因违反取证程序的一般规定，应当排除,应予以补正或者作出合理解释，否则予以排除,不仅物证应当排除，对物证的鉴定意见等衍生证据也应排除,有勘验过程全程录像并在笔录中已注明理由不予排除,D,本题考查了非法证据排除规则中物证、书证排除的条件。根据《刑事诉讼法》第五十六条第1款的规定，物证、书证应当予以排除必须同时符合三个条件:一是收集物证、书证不符合法定程序；二是可能严重影响司法公正；三是不能补正或者作出合理解释。只是符合其中条件之一，不能予以排除，据此，A选项和B选项均错误。在西方国家，非法证据排除规则不仅排除以非法方法收集的证据，而且排除以非法方法收集的证据为线索进一步收集到的证据，后者被称为毒树之果理论。我国2012年《刑事诉讼法》修改时把非法证据排除规则写入了法典，并在第五十六条中明确规定了排除的范围，然而，对于毒树之果是否排除则没有任何规定。也就是说，按照现行法律的规定，以非法取得的证据为线索进一步衍生的证据在我国刑事诉讼不排除。C选项错误。根据《刑事诉讼法》第五十六条第1款的规定，虽然非法取证，但能够做出合理解释的，证据不予排除。本题中有勘验过程全程录像并在笔录中已注明理由，不予排除。D选项正确。,设计一个法律情境,<《刑事诉讼法》第五十六条规定，采用刑讯逼供等非法方法收集的犯罪嫌疑人、被告人供述和采用暴力、威胁等非法方法收集的证人证言、被害人陈述，应当予以排除。收集物证、书证不符合法定程序，可能严重影响司法公正的，应当予以补正或者作出合理解释；不能补正或者作出合理解释的，对该证据应当予以排除。在侦查、审查起诉、审判时发现有应当排除的证据的，应当依法予以排除，不得作为起诉意见、起诉决定和判决的依据。>
10,在甲县居住的雷某在乙县自驾游期间因涉嫌危险驾驶罪被乙县公安机关查获。关于本案的办理，下列说法是正确的是？,因为雷某涉嫌的是危险驾驶罪，所以对其不适用逮捕,如乙县公安机关决定对雷某取保候审，可以要求雷某不得离开乙县,如乙县公安机关决定对雷某取保候审，可以要求雷某上交驾驶证件、身份证,乙县公安机关拘留雷某后，至迟不超过24小时应当将雷某送看守所羁押,D,A项，根据全国人大常委会关于《刑事诉讼法》第八十一条第3款，对于被取保候审监视居住的，可能判处徒刑以下刑罚的犯罪嫌疑人，被告人违反取保候审监视居住规定，严重影响诉讼活动正常进行的可以予以逮捕，因此对于雷某并不适用逮捕。因此A项错误。B项，根据《刑事诉讼法》第七十一条的规定，被取保候审的人未经执行机关批准，不得离开所居住的市、县。本题中的雷某是在甲县居住，故B项错误。C项，根据《刑事诉讼法》第七十一条的规定，公安机关可以责令被取保候审的人将护照等出入境证件驾驶证件交执行机关保存，但不包括身份证，故C项错误。D项，根据《刑事诉讼法》第八十五条的规定，拘留后应当立即将被拘留人送看守所羁押，至迟不得超过24小时，故D项正确。,设计一个法律情境,<《刑事诉讼法》第八十一条规定，对有证据证明有犯罪事实，可能判处徒刑以上刑罚的犯罪嫌疑人、被告人，采取取保候审尚不足以防止发生下列社会危险性的，应当予以逮捕:（一）可能实施新的犯罪的；（二）有危害国家安全、公共安全或者社会秩序的现实危险的；（三）可能毁灭、伪造证据，干扰证人作证或者串供的；（四）可能对被害人、举报人、控告人实施打击报复的；（五）企图自杀或者逃跑的。批准或者决定逮捕，应当将犯罪嫌疑人、被告人涉嫌犯罪的性质、情节，认罪认罚等情况，作为是否可能发生社会危险性的考虑因素。对有证据证明有犯罪事实，可能判处十年有期徒刑以上刑罚的，或者有证据证明有犯罪事实，可能判处徒刑以上刑罚，曾经故意犯罪或者身份不明的，应当予以逮捕。被取保候审、监视居住的犯罪嫌疑人、被告人违反取保候审、监视居住规定，情节严重的，可以予以逮捕。> <《刑事诉讼法》第七十一条，被取保候审的犯罪嫌疑人、被告人应当遵守以下规定:（一）未经执行机关批准不得离开所居住的市、县；（二）住址、工作单位和联系方式发生变动的，在二十四小时以内向执行机关报告；（三）在传讯的时候及时到案；（四）不得以任何形式干扰证人作证；（五）不得毁灭、伪造证据或者串供。人民法院、人民检察院和公安机关可以根据案件情况，责令被取保候审的犯罪嫌疑人、被告人遵守以下一项或者多项规定:（一）不得进入特定的场所；（二）不得与特定的人员会见或者通信；（三）不得从事特定的活动；（四）将护照等出入境证件、驾驶证件交执行机关保存。被取保候审的犯罪嫌疑人、被告人违反前两款规定，已交纳保证金的，没收部分或者全部保证金，并且区别情形，责令犯罪嫌疑人、被告人具结悔过，重新交纳保证金、提出保证人，或者监视居住、予以逮捕。对违反取保候审规定，需要予以逮捕的，可以对犯罪嫌疑人、被告人先行拘留。> <《刑事诉讼法》第八十五条规定，公安机关拘留人的时候，必须出示拘留证。拘留后，应当立即将被拘留人送看守所羁押，至迟不得超过二十四小时。除无法通知或者涉嫌危害国家安全犯罪、恐怖活动犯罪通知可能有碍侦查的情形以外，应当在拘留后二十四小时以内，通知被拘留人的家属。有碍侦查的情形消失以后，应当立即通知被拘留人的家属。>
11,甲与邻居乙发生冲突致乙轻伤，甲被刑事拘留期间，甲的父亲代为与乙达成和解，公安机关决定对甲取保候审。关于甲在取保候审期间应遵守的义务，下列哪一选项是正确的？,将驾驶证件交执行机关保存,不得与乙接触,工作单位调动的，在24小时内报告执行机关,未经公安机关批准，不得进入特定的娱乐场所,C,本题考查了被取保候审人应当遵守的法定义务。根据《刑事诉讼法》第七十一条的规定，被取保候审的犯罪嫌疑人、被告人应当遵守的法定义务包括:（一）未经执行机关批准不得离开所居住的市、县；（二）住址、工作单位和联系方式发生变动的，在二十四小时以内向执行机关报告；（三）在传讯的时候及时到案；（四）不得以任何形式干扰证人作证；（五）不得毁灭、伪造证据或者串供。人民法院、人民检察院和公安机关可以根据案件情况，责令被取保候审的犯罪嫌疑人、被告人遵守的酌定义务包括以下一项或者多项:（一）不得进入特定的场所；（二）不得与特定的人员会见或者通信；（三）不得从事特定的活动；（四）将护照等出入境证件、驾驶证件交执行机关保存。据此，本题中A、B、D选项属于被取保候审人应当遵守的酌定义务，C选项为被取保候审人应遵守的法定义务。C选项为正确答案。,设计一个法律情境,<《刑事诉讼法》第七十一条规定，被取保候审的犯罪嫌疑人、被告人应当遵守以下规定:（一）未经执行机关批准不得离开所居住的市、县；（二）住址、工作单位和联系方式发生变动的，在二十四小时以内向执行机关报告；（三）在传讯的时候及时到案；（四）不得以任何形式干扰证人作证；（五）不得毁灭、伪造证据或者串供。人民法院、人民检察院和公安机关可以根据案件情况，责令被取保候审的犯罪嫌疑人、被告人遵守以下一项或者多项规定:（一）不得进入特定的场所；（二）不得与特定的人员会见或者通信；（三）不得从事特定的活动；（四）将护照等出入境证件、驾驶证件交执行机关保存。被取保候审的犯罪嫌疑人、被告人违反前两款规定，已交纳保证金的，没收部分或者全部保证金，并且区别情形，责令犯罪嫌疑人、被告人具结悔过，重新交纳保证金、提出保证人，或者监视居住、予以逮捕。对违反取保候审规定，需要予以逮捕的，可以对犯罪嫌疑人、被告人先行拘留。>
