id,question,A,B,C,D,answer,analysis,action,principle
24,关于假释的撤销，下列哪一选项是错误的,被假释的犯罪分子，在假释考验期内犯新罪的，应撤销假释，按照先减后并的方法实行并罚,被假释的犯罪分子，在假释考验期内严重违反假释监督管理规定，即使假释考验期满后才被发现，也应撤销假释,在假释考验期内，发现被假释的犯罪分子在判决宣告前还有同种罪未判决的，应撤销假释,在假释考验期满后，发现被假释的犯罪分子在判决宣告前有他罪未判决的，应撤销假释，数罪并罚,D,关于A项。根据《刑法》第八十六条第1款的规定，被假释的犯罪分子，在假释考验期限内犯新罪，应当撤销假释，依照本法第七十一条规定的先减后并的方法实行数罪并罚。因此，A项的表述正确，不当选。关于B项。根据《刑法》第八十六条第3款的规定，被假释的犯罪分子，在假释考验期限内，有违反法律、行政法规或者国务院有关部门关于假释的监督管理规定的行为，尚未构成新的犯罪的，应当依照法定程序撤销假释，收监执行未执行完毕的刑罚。需要强调的是，在假释考验期内实施违反假释监督管理规定的行为，无论是在假释考验期内当时被发现，还是在假释考验期满之后才发现，都应当撤销假释，收监执行未执行完毕的刑罚。因此，B项的表述正确，不当选。关于C项。根据《刑法》第八十六条第2款的规定，在假释考验期限内，发现被假释的犯罪分子在判决宣告以前还有其他罪没有判决的，应当撤销假释，依照本法第七十条规定的先并后减的方法实行数罪并罚。因此，C项的表述正确，不当选。关于D项。如果在假释考验期满后，才发现被假释的犯罪人在判决宣告以前还有其他罪没有判决的，不得撤销假释，只能对新发现的犯罪另行侦查、起诉、审判，不得与前罪实行数罪并罚。因此，D项的表述错误，当选。,针对给定法律中的某个概念,<《刑法》第八十五条规定，对假释的犯罪分子，在假释考验期限内，依法实行社区矫正，如果没有本法第八十六条规定的情形，假释考验期满，就认为原判刑罚已经执行完毕，并公开予以宣告。> <《刑法》第八十六条规定，被假释的犯罪分子，在假释考验期限内犯新罪，应当撤销假释，依照本法第七十一条的规定实行数罪并罚。在假释考验期限内，发现被假释的犯罪分子在判决宣告以前还有其他罪没有判决的，应当撤销假释，依照本法第七十条的规定实行数罪并罚。被假释的犯罪分子，在假释考验期限内，有违反法律、行政法规或者国务院有关部门关于假释的监督管理规定的行为，尚未构成新的犯罪的，应当依照法定程序撤销假释，收监执行未执行完毕的刑罚。>
25,刘某持西瓜刀闯进超市抢劫，超市员工陈某反击。二人扭打中，陈某夺下刀然后扔掉，碰巧砸中旁边的王某头部，致其重伤。刘某未取得财物，见状逃跑，出了超市后骑自行车逃跑。陈某追上，扑上前去，将刘某连人带车摔倒在地，刘某摔伤（轻伤），陈某也摔伤（重伤）。下列说法正确的是？,刘某对王某的受伤负刑事责任,陈某致王某受伤，属于正当防卫，不负刑事责任,陈某致王某受伤，系防卫过当,刘某对陈某的重伤不负刑事责任，不构成抢劫罪致人重伤,D,A项，陈某反击刘某的行为属于正当防卫。但陈某扔刀不慎砸中王某，致王某重伤。该结果不能归属给刘某。这是因为，第一，该事件比较异常。王某受伤与刘某的抢劫是独立关系。第二，刘某的抢劫行为对王某没有制造危险。王某受伤应归属给陈某。但这只是客观阶层的分析。在主观阶层，陈某对王某的受伤若没有预见可能性，则按照意外事件处理。BC项，陈某扔刀砸中王某的行为，不属于防卫行为，既不属于正当防卫，也不需要判断是否防卫过当。D项，刘某未取得财物而逃跑，此时陈某追赶，不存在夺回财物的问题，不是正当防卫行为，而是扭送行为。陈某实施扭送行为导致自己受伤该结果不能归属于刘某。这是因为，刘某的逃跑行为本身对陈某没有制造危险。因此，刘某构成抢劫罪，但不构成抢劫罪致人重伤。,设计一个法律情境,<《刑法》第二十条规定，为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。>
26,首要分子甲通过手机指令所有参与者”和对方打斗时，下手重一点”。在聚众斗殴过程中，被害人被谁的行为重伤致死这一关键事实已无法查明。关于本案的分析，下列哪一选项是正确的？,对甲应以故意杀人罪定罪量刑,甲是教唆犯，未参与打斗，应认定为从犯,所有在现场斗殴者都构成故意杀人罪,对积极参加者按故意杀人罪定罪，对其他参加者按聚众斗殴罪定罪,A,《刑法》第二百九十二条第2款规定，聚众斗殴，致人重伤、死亡的，依照本法第二百三十四条（故意伤害罪）、第二百三十二条（故意杀人罪）的规定定罪处罚。本题中，首要分子甲指令所有参与者和对方打斗时“下手重一点”，这里的“下手重一点”，应认为包括对被害人重伤、死亡后果所持的是直接故意心态或间接故意心态。因此，甲对被害人被重伤致死的后果应当承担刑事责任，即甲构成故意杀人罪。A正确。本题中，甲是教唆犯，虽其没有实际参与打斗，但其在共同犯罪中起了主要作用。因此，对甲应认定为主犯，而非从犯。B错误。按照共同犯罪的法理，在聚众斗殴过程中，如果只是一个或一部分人实施了严重暴力行为，导致被害人重伤、死亡的，那么只有实施该严重暴力的人转化为故意伤害罪或故意杀人罪，其他的人仍然定聚众斗殴罪。就本题而言，由于被害人被谁的行为重伤致死这一关键事实已无法查明，因而就实际参与打斗的人而言，无论认定谁构成故意杀人罪，都有可能被冤枉，按照疑罪从无的精神，只能认定所有参与打斗的人，对被害人的死亡都不承担刑事责任。C、D错误。,设计一个法律情境,<《刑法》第二百九十二条规定，聚众斗殴的，对首要分子和其他积极参加的，处三年以下有期徒刑、拘役或者管制；有下列情形之一的，对首要分子和其他积极参加的，处三年以上十年以下有期徒刑:（一）多次聚众斗殴的；（二）聚众斗殴人数多，规模大，社会影响恶劣的；（三）在公共场所或者交通要道聚众斗殴，造成社会秩序严重混乱的；（四）持械聚众斗殴的。聚众斗殴，致人重伤、死亡的，依照本法第二百三十四条、第二百三十二条的规定定罪处罚。> <《刑法》第二百三十二条规定，故意杀人的，处死刑、无期徒刑或者十年以上有期徒刑；情节较轻的，处三年以上十年以下有期徒刑。> <《刑法》第二百三十四条规定，故意伤害他人身体的，处三年以下有期徒刑、拘役或者管制。犯前款罪，致人重伤的，处三年以上十年以下有期徒刑；致人死亡或者以特别残忍手段致人重伤造成严重残疾的，处十年以上有期徒刑、无期徒刑或者死刑。本法另有规定的，依照规定。> <《刑法》第二十六条规定，组织、领导犯罪集团进行犯罪活动的或者在共同犯罪中起主要作用的，是主犯。三人以上为共同实施犯罪而组成的较为固定的犯罪组织，是犯罪集团。对组织、领导犯罪集团的首要分子，按照集团所犯的全部罪行处罚。对于第三款规定以外的主犯，应当按照其所参与的或者组织、指挥的全部犯罪处罚。> <《刑法》第二十七条规定，在共同犯罪中起次要或者辅助作用的，是从犯。对于从犯，应当从轻、减轻处罚或者免除处罚。> <《刑法》第二十九条规定，教唆他人犯罪的，应当按照他在共同犯罪中所起的作用处罚。教唆不满十八周岁的人犯罪的，应当从重处罚。如果被教唆的人没有犯被教唆的罪，对于教唆犯，可以从轻或者减轻处罚。>
27,关于累犯，下列哪一选项是正确的,对累犯和犯罪集团的积极参加者，不适用缓刑,对累犯，如假释后对所居住的社区无不良影响的，法院可决定假释,对被判处无期徒刑的累犯，根据犯罪情节等情况，法院可同时决定对其限制减刑,犯恐怖活动犯罪被判处有期徒刑4年，刑罚执行完毕后的第12年又犯黑社会性质的组织犯罪的，成立累犯,D,关于A项。根据《刑法》第七十四条的规定，对于累犯和犯罪集团的首要分子，不适用缓刑。犯罪集团的积极参加者，不一定都是犯罪集团的首要分子，因此，A项的表述错误，不当选。关于B项。根据《刑法》第八十一条第2款的规定，对累犯以及因故意杀人、强奸、抢劫、绑架、放火、爆炸、投放危险物质或者有组织的暴力性犯罪被判处十年以上有期徒刑、无期徒刑的犯罪分子，不得假释。可见，所有的累犯都不得假释。因此，B项的表述错误，不当选。关于C项。根据《刑法》第五十条第2款的规定，对被判处死刑缓期执行的累犯以及因故意杀人、强奸、抢劫、绑架、放火、爆炸、投放危险物质或者有组织的暴力性犯罪被判处死刑缓期执行的犯罪分子，人民法院根据犯罪情节等情况可以同时决定对其限制减刑。可见，限制减刑的对象，只能是9种死缓犯，与无期徒刑犯无关。因此，C项的表述错误，不当选。关于D项。根据《刑法》第六十六条的规定，危害国家安全犯罪、恐怖活动犯罪、黑社会性质的组织犯罪的犯罪分子，在刑罚执行完毕或者赦免以后，在任何时候再犯上述任一类罪的，都以累犯论处，此即特别累犯。,针对给定法律中的某个概念,<《刑法》第五十条规定，判处死刑缓期执行的，在死刑缓期执行期间，如果没有故意犯罪，二年期满以后，减为无期徒刑；如果确有重大立功表现，二年期满以后，减为二十五年有期徒刑；如果故意犯罪，情节恶劣的，报请最高人民法院核准后执行死刑；对于故意犯罪未执行死刑的，死刑缓期执行的期间重新计算，并报最高人民法院备案。对被判处死刑缓期执行的累犯以及因故意杀人、强奸、抢劫、绑架、放火、爆炸、投放危险物质或者有组织的暴力性犯罪被判处死刑缓期执行的犯罪分子，人民法院根据犯罪情节等情况可以同时决定对其限制减刑。> <《刑法》第六十六条规定，危害国家安全犯罪、恐怖活动犯罪、黑社会性质的组织犯罪的犯罪分子，在刑罚执行完毕或者赦免以后，在任何时候再犯上述任一类罪的，都以累犯论处。> <《刑法》第七十四条规定，对于累犯和犯罪集团的首要分子，不适用缓刑。> <《刑法》第八十一条规定，被判处有期徒刑的犯罪分子，执行原判刑期二分之一以上，被判处无期徒刑的犯罪分子，实际执行十三年以上，如果认真遵守监规，接受教育改造，确有悔改表现，没有再犯罪的危险的，可以假释。如果有特殊情况，经最高人民法院核准，可以不受上述执行刑期的限制。对累犯以及因故意杀人、强奸、抢劫、绑架、放火、爆炸、投放危险物质或者有组织的暴力性犯罪被判处十年以上有期徒刑、无期徒刑的犯罪分子，不得假释。对犯罪分子决定假释时，应当考虑其假释后对所居住社区的影响。>
28,女舞蹈家关某在某小学参加活动，观看小学生舞蹈表演，发现10岁女孩林晓极具舞蹈天赋，遂对林晓表示愿意赠与其100万元；该笔资金只能用于舞蹈培训，助其成为舞蹈艺术家。林晓当场接受，林晓的父母知悉后，明确表示拒绝，下列哪一选项是正确的？,林晓的父母应维护林晓的利益，赠与有效,林晓的父母可拒绝接受，赠与无效,林晓可以独立判断，赠与有效,林晓获得赠与属于纯获利益，赠与有效,B,赠与可以附义务。赠与附义务的，受赠人应当按照约定履行义务。本题中，关某与林晓之间的赠与合同中明确表示“只能用于舞蹈培训”，因此，系附义务的赠与合同。10岁的林晓系限制民事行为能力人，100万元超出其意思能力，不可以独立判断。附义务的赠与合同亦非纯获法律上利益。故C、D项错误，不当选。限制民事行为能力人所实施的与其意思能力不相适应的双方民事法律行为效力待定。本题中，关某与林晓签订的附义务的赠与合同效力待定。作为法定代理人的父母知悉后，明确表示拒绝。因此，该赠与合同自始无效。故A项错误，不当选。B项正确，当选。综上所述，本题的正确答案为B。,设计一个法律情境,<《民法典》第六百六十一条规定，赠与可以附义务。赠与附义务的，受赠人应当按照约定履行义务。> <《民法典》第六百六十三条规定，受赠人有下列情形之一的，赠与人可以撤销赠与:（一）严重侵害赠与人或者赠与人近亲属的合法权益；（二）对赠与人有扶养义务而不履行；（三）不履行赠与合同约定的义务。赠与人的撤销权，自知道或者应当知道撤销事由之日起一年内行使。> <《民法典》第十九条规定，八周岁以上的未成年人为限制民事行为能力人，实施民事法律行为由其法定代理人代理或者经其法定代理人同意、追认；但是，可以独立实施纯获利益的民事法律行为或者与其年龄、智力相适应的民事法律行为。>
29,钱某有一幅祖传古画，市值100万元，高某为了低价收购该古画，伙同某艺术品鉴定家孟某欺骗钱某该画是赝品，价值不超过10万元，钱某信以为真。后钱某以15万元将古画卖给了不知情的陈某。关于本案，下列哪一选项是正确的？,因陈某乘人之危，钱某可以撤销与陈某的买卖合同,因遭受高某欺诈，钱某可以撤销与陈某的买卖合同,属于重大误解，钱某可以撤销与陈某的买卖合同,属于显失公平，钱某可以撤销与陈某的买卖合同,C,"A、D项考查显失公平。显失公平的核心有二:1.利用对方处于困境或缺乏判断能力；2.民事法律行为成立时显失公平（主要体现于价格因素）。本题中，虽古画价值100万元却以15万元卖给陈某符合民事法律行为成立时显失公平的要件。但是，作为买卖合同当事人的陈某（买方）并未利用钱某（卖方）处于困境或缺乏判断能力（因为陈某“不知情”）。因此，钱某不得基于显失公平主张撤销买卖合同。故A、D项均错误，不当选。B项考查第三人的欺诈。《民法典》第一百四十九条:第三人实施欺诈行为,使一方在违背真实意思的情况下实施的民事法律行为,对方知道或者应当知道该欺诈行为的,受欺诈方有权请求人民法院或者仲裁机构予以撤销。本题中，陈某并不知高某对钱某实施了欺诈行为。因此，钱某无权基于高某对其实施欺诈而撤销与陈某的合同。故B项错误，不当选。C项考查重大误解。重大误解，是指行为人因对行为的性质、对方当事人、标的物的品种、规格、数量和质量等的错误认识，使行为的后果与自己的意思相悖，并造成较大损失。本题中，钱某将古画出卖给陈某时因受欺诈而陷入错误认识，对标的物认识错误，进而将100万元的古画以15万元出售给陈某，客观上造成了较大损失。因此，依法成立重大误解（对标的物认识错误），可以撤销买卖合同。故C项说法正确，当选。",设计一个法律情境,<《民法典》第一百五十一条规定，一方利用对方处于危困状态、缺乏判断能力等情形，致使民事法律行为成立时显失公平的，受损害方有权请求人民法院或者仲裁机构予以撤销。> <《民法典》第一百四十九条规定，第三人实施欺诈行为，使一方在违背真实意思的情况下实施的民事法律行为，对方知道或者应当知道该欺诈行为的，受欺诈方有权请求人民法院或者仲裁机构予以撤销。> <《民法典》第一百四十七条规定，基于重大误解实施的民事法律行为，行为人有权请求人民法院或者仲裁机构予以撤销。>
30,甲、乙二人同村，宅基地毗邻。甲的宅基地倚山、地势较低，乙的宅基地在上将其环绕。乙因琐事与甲多次争吵而郁闷难解，便沿二人宅基地的边界线靠己方一侧，建起高5米围墙，使甲在自家院内却有身处监牢之感。乙的行为违背民法的下列哪一基本原则,自愿原则,公平原则,平等原则,诚信原则,D,自愿原则是指当事人可以根据自己的判断，去从事民事活动，国家一般不干预当事人的自由意志，充分尊重当事人的选择，内容包括自己行为和自己责任两个方面。公平原则实质是在民事活动中以利益均衡作为价值判断标准，在民事主体之间发生利益关系摩擦时，以权利和义务是否均衡来平衡双方的利益。平等原则意味着当事人在民事活动中的地位平等。任何自然人、法人在民事法律关系中平等地享有权利、承担义务，其权利平等的受到保护。诚信原则，要求处于法律上特殊联系的民事主体应忠诚、守信，做到谨慎维护对方的利益、满足对方的正当期待、给对方提供必要的信息等，发挥行为指引功能、规范解释功能和法律漏洞的填补功能。其中，行为指引功能禁止滥用权利，要求当事人以善意方式行使权利、履行义务。如果当事人违背这种要求，即构成权利的滥用，违背了诚信原则。乙为报复甲，利用自己的宅基地，建高5米的围墙，其行为违背了善意方式行使权力、履行义务的要求，构成权利滥用，所以违背了诚信原则。本题所述情况与自愿原则、公平原则、平等原则无关。,设计一个法律情境,<《民法典》第五条规定，民事主体从事民事活动，应当遵循自愿原则，按照自己的意思设立、变更、终止民事法律关系。> <《民法典》第六条规定，民事主体从事民事活动，应当遵循公平原则，合理确定各方的权利和义务。> <《民法典》第七条规定，民事主体从事民事活动，应当遵循诚信原则，秉持诚实，恪守承诺。> <《民法典》第四条规定，民事主体在民事活动中的法律地位一律平等。>
31,甲公司向乙公司催讨一笔已过诉讼时效期限的10万元货款。乙公司书面答复称:“该笔债务已过时效期限，本公司本无义务偿还，但鉴于双方的长期合作关系，可偿还3万元。”甲公司遂向法院起诉，要求偿还10万元。乙公司接到应诉通知后书面回函甲公司称:“既然你公司起诉，则不再偿还任何货款。”下列哪一选项是正确的？,乙公司的书面答复意味着乙公司需偿还甲公司3万元,乙公司的书面答复构成要约,乙公司的书面回函对甲公司有效,乙公司的书面答复表明其丧失了10万元的时效利益,A,《民法典》第一百九十二条第2款:诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已自愿履行的，不得请求返还。本题中，在诉讼时效期间届满后，乙公司向甲公司以书面形式作出“愿意偿还3万元”的意思表示，则意味着这“3万元”不再受上述时效的限制，乙公司需要向甲公司偿还3万元，但是对剩下7万元则无须偿还。A正确，CD错误。《民法典》第四百七十二条:要约是希望和他人订立合同的意思表示，该意思表示应当符合下列规定:（一）内容具体确定；（二）表明经受要约人承诺，要约人即受该意思表示约束。本题中，乙的书面答复并没有订立合同的意图，不构成要约。B错误。,设计一个法律情境,<《民法典》第一百九十二条规定，诉讼时效期间届满的，义务人可以提出不履行义务的抗辩。诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已经自愿履行的，不得请求返还。> <《民法典》第四百七十二条规定，要约是希望与他人订立合同的意思表示，该意思表示应当符合下列条件:（一）内容具体确定；（二）表明经受要约人承诺，要约人即受该意思表示约束。>
32,甲向乙借款100万元，借期2年，欲以自己的房屋1套作担保，双方于2018年6月1日签订了不动产抵押合同，乙一直催促甲办理抵押登记，均无效果。一月后，乙要求甲以自己的汽车作抵押，双方于2018年7月1日签订了动产抵押合同，但一直未将汽车交付于乙。现因甲不能清偿到期欠款，乙要求实现抵押权。下列哪一选项是错误的？,甲乙之间的不动产抵押合同由于一直没有办理抵押登记而无效,甲乙之间的不动产抵押合同于2018年6月1日成立并生效，但不动产抵押权未设立,甲既能就汽车设立抵押权，又能就汽车设立质押权,乙有权请求将甲的汽车拍卖，并就所得价款行使优先受偿权,A,首先，《民法典》第四百零二条:以本法第三百九十五条第一款第一项至第三项规定的财产或者第五项规定的正在建造的建筑物抵押的应当办理抵押登记。抵押权自登记时设立。不动产的类型有第三百九十五条第1款至第3项:建筑物和其他地上附着物、建设用地使用权、海域使用权。同时，根据《民法典》第二百一十五条:当事人之间订立有关设立、变更、转让和消灭不动产物权的合同除法律另有规定或者当事人另有约定外自合同成立时生效未办理物权登记的不影响合同效力。本题中，甲乙虽未办理抵押登记手续，不动产抵押权未设立，但二者间的抵押合同合法有效。故A项错误，,设计一个法律情境,<《民法典》第四百零二条规定，以本法第三百九十五条第一款第一项至第三项规定的财产或者第五项规定的正在建造的建筑物抵押的，应当办理抵押登记。抵押权自登记时设立。动产的类型有第395条第1款至第3项:建筑物和其他地上附着物、建设用地使用权、海域使用权。> <《民法典》第二百一十五条规定，当事人之间订立有关设立、变更、转让和消灭不动产物权的合同，除法律另有规定或者当事人另有约定外，自合同成立时生效；未办理物权登记的，不影响合同效力。> <《民法典》第四百零三条规定，以动产抵押的，抵押权自抵押合同生效时设立；未经登记，不得对抗善意第三人。> <《民法典》第三百九十四条规定，为担保债务的履行，债务人或者第三人不转移财产的占有，将该财产抵押给债权人的，债务人不履行到期债务或者发生当事人约定的实现抵押权的情形，债权人有权就该财产优先受偿。前款规定的债务人或者第三人为抵押人，债权人为抵押权人，提供担保的财产为抵押财产。>
33,庞某有1辆名牌自行车，在借给黄某使用期间，达成转让协议，黄某以8000元的价格购买该自行车。次日，黄某又将该自行车以9000元的价格转卖给了洪某，但约定由黄某继续使用1个月。关于该自行车的归属，下列哪一选项是正确的,庞某未完成交付，该自行车仍归庞某所有,黄某构成无权处分，洪某不能取得自行车所有权,洪某在黄某继续使用1个月后，取得该自行车所有权,庞某既不能向黄某，也不能向洪某主张原物返还请求权,D,《民法典》第二百二十六条:动产物权设立和转让前权利人已经占有该动产的物权自民事法律行为生效时发生效力。庞某和黄某的交付方式属于本条规定的简易交付，在庞某和黄某达成转让协议前，黄某因借用已经合法占有该自行车，所以黄某自转让协议生效时获得自行车的所有权。即自行车归黄某所有，不是庞某。A错误。《民法典》第二百二十八条:动产物权转让时当事人又约定由出让人继续占有该动产的物权自该约定生效时发生效力。黄某和洪某的交付方式属于本条规定的占有改定。因黄某已经享有所有权，次日黄某将自己所有的自行车卖给洪某，系有权处分。黄某将自行车转让给洪某，并与洪某约定自行车由黄某继续使用一个月，自转让协议成立生效时，洪某即取得自行车的所有权，而非黄某继续使用1个月后才取得。B、C错误。《民法典》第二百三十五条:无权占有不动产或者动产的权利人可以请求返还原物。本题中，黄某和洪某都不是无权占有人，庞某也不是自行车的所有人，所以不能向黄某或洪某主张原物返还请求权。D正确。,设计一个法律情境,<《民法典》第二百二十六条规定，动产物权设立和转让前，权利人已经占有该动产的，物权自民事法律行为生效时发生效力。> <《民法典》第二百二十八条规定，动产物权转让时，当事人又约定由出让人继续占有该动产的，物权自该约定生效时发生效力。无权占有不动产或者动产的，权利人可以请求返还原物。> <《民法典》第二百三十五条规定，无权占有不动产或者动产的，权利人可以请求返还原物。>
34,甲与乙签订《协议》，由乙以自己名义代甲购房，甲全权使用房屋并获取收益。乙与开发商和银行分别签订了房屋买卖合同和贷款合同。甲把首付款和月供款给乙，乙再给开发商和银行，房屋登记在乙名下。后甲要求乙过户，乙主张是自己借款购房。下列哪一选项是正确的,甲有权提出更正登记,房屋登记在乙名下，甲不得请求乙过户,《协议》名为代购房关系，实为借款购房关系,如乙将房屋过户给不知《协议》的丙，丙支付合理房款则构成善意取得,A,《民法典》第二百二十条:权利人、利害关系人认为不动产登记簿记载的事项错误的可以申请更正登记。不动产登记簿记载的权利人书面同意更正或者有证据证明登记确有错误的登记机构应当予以更正。不动产登记簿记载的权利人不同意更正的利害关系人可以申请异议登记。登记机构予以异议登记申请人自异议登记之日起十五日内不起诉的异议登记失效。异议登记不当造成权利人损害的权利人可以向申请人请求损害赔偿。本题，甲与乙约定由乙以自己名义代甲购房，乙将房屋登记在自己名下的行为，符合更正登记的构成要件，甲有权提出更正登记。故选项A正确。甲乙之间的协议有效，甲为房屋实际所有人，因此可以要求乙过户，故选项B错误，不当选。对甲乙约定的意思表示进行解释，甲乙均无借贷意思，故选项C错误，不当选。借他人名义买房，在对外关系上，采用登记名义说，房屋登记在谁名下，谁就是所有权人，所以即使是借名人处分房屋，也是有权处分行为，善意取得以无权处分为前提，所以D错误。,设计一个法律情境,<《民法典》第二百二十条规定，权利人、利害关系人认为不动产登记簿记载的事项错误的，可以申请更正登记。不动产登记簿记载的权利人书面同意更正或者有证据证明登记确有错误的，登记机构应当予以更正。不动产登记簿记载的权利人不同意更正的，利害关系人可以申请异议登记。登记机构予以异议登记，申请人自异议登记之日起十五日内不提起诉讼的，异议登记失效。异议登记不当，造成权利人损害的，权利人可以向申请人请求损害赔偿。>
35,小区地下停车场设有车位500个，开发商销售了300个，另200个用于出租。蒋某购房时未买车位，现因购车需使用车位。下列选项正确的是:,蒋某等业主对地下停车场享有业主共有权,如小区其他业主出售车位，蒋某等无车位业主在同等条件下享有优先购买权,开发商出租车位，应优先满足蒋某等无车位业主的需要,小区业主如出售房屋，其所购车位应一同转让,C,《民法典》第二百七十五条:建筑区划内规划用于停放汽车的车位、车库的归属由当事人通过出售、附赠或者出租等方式约定。占用业主共有的道路或者其他场地用于停放汽车的车位属于业主共有。本题中，地下停车场不属于上述规定的“占用业主共有的道路或者其他场地用于停放汽车的车位”的情况，因此并不当然归业主所有。开发商销售了300个，另200个用于出租，说明开发商和购房者通过出售、出租等方式就车位进行了约定，停车位归开发商。所以业主对于地下停车上不享有业主共有权。A错误。《民法典》第二百七十三条:业主对建筑物专有部分以外的共有部分享有权利承担义务不得以放弃权利不履行义务。法律并未规定业主之间享有优先购买权，所以其他业主出售车位，无车位业主无优先购买权。此外，车位不属于建筑物专有部分以外的共有部分，业主对于车位享有独立的所有权。所以车位不随房屋一同转让。B、D错误。《民法典》第二百七十六条:建筑区划内规划用于停放汽车的车位、车库应当首先满足业主的需要。虽然车位的所有权不属于业主，但是开发商依照规定，在出租时应优先满足作为本小区无车位业主的蒋某等人的需要。C正确。,设计一个法律情境,<《民法典》第二百七十五条规定，建筑区划内，规划用于停放汽车的车位、车库的归属，由当事人通过出售、附赠或者出租等方式约定。占用业主共有的道路或者其他场地用于停放汽车的车位，属于业主共有。> <《民法典》第二百七十三条规定，业主对建筑物专有部分以外的共有部分，享有权利，承担义务；不得以放弃权利为由不履行义务。业主转让建筑物内的住宅、经营性用房，其对共有部分享有的共有和共同管理的权利一并转让。> <《民法典》第二百七十六条规定，建筑区划内，规划用于停放汽车的车位、车库应当首先满足业主的需要。>
36,张某与李某共有一台机器，各占50%份额。双方共同将机器转卖获得10万元，约定张某和李某分别享有6万元和4万元。同时约定该10万元暂存李某账户，由其在3个月后返还给张某6万元。后该账户全部款项均被李某债权人王某申请法院查封并执行，致李某不能按期返还张某款项。下列哪一表述是正确的？,李某构成违约，张某可请求李某返还5万元,李某构成违约，张某可请求李某返还6万元,李某构成侵权，张某可请求李某返还5万元,李某构成侵权，张某可请求李某返还6万元,B,本案中，张某与李某约定“对机器转卖所得款张某分6万，李某分4万”，该约定未违反意思自治原则，合法有效。因此，张某可请求李某返还6万元。《民法典》第五百九十三条:当事人一方因第三人的原因造成违约的，应当依法向对方承担违约责任。当事人一方和第三人之间的纠纷，依照法律规定或者按照约定处理。本案中，李某因第三人的原因导致违约，应当向张某承担违约责任，而非侵权。,设计一个法律情境,<《民法典》第五百九十三条规定，当事人一方因第三人的原因造成违约的，应当依法向对方承担违约责任。当事人一方和第三人之间的纠纷，依照法律规定或者按照约定处理。>
37,如甲公司未按期还款，乙银行欲行使担保权利，当事人未约定行使担保权利顺序，下列选项正确的是:,乙银行应先就甲公司的抵押实现债权,乙银行应先就丁的质押实现债权,乙银行可选择就甲公司的抵押或丙的保证实现债权,乙银行可选择就甲公司的抵押或丁的质押实现债权,A,《民法典》第三百九十二条:被担保的债权既有物的担保又有人的担保的债务人不履行到期债务或者发生当事人约定的实现担保物权的情形债权人应当按照约定实现债权没有约定或者约定不明确债务人自己提供物的担保的债权人应当先就该物的担保实现债权第三人提供物的担保的债权人可以就物的担保实现债权也可以请求保证人承担保证责任。提供担保的第三人承担担保责任后有权向债务人追偿。本题中，乙银行欲行使担保权利，当事人未约定行使担保权利顺序，按照上述规定，债务人甲公司自己提供了动产浮动抵押，所以债权人乙银行应当先就该动产浮动抵押实现债权。A正确，B、C、D错误。,设计一个法律情境,<《民法典》第三百九十二条规定，被担保的债权既有物的担保又有人的担保的，债务人不履行到期债务或者发生当事人约定的实现担保物权的情形，债权人应当按照约定实现债权；没有约定或者约定不明确，债务人自己提供物的担保的，债权人应当先就该物的担保实现债权；第三人提供物的担保的，债权人可以就物的担保实现债权，也可以请求保证人承担保证责任。提供担保的第三人承担担保责任后，有权向债务人追偿。>
